"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"01.12.2023","190,26","190,49","190,49","189,24","10,35M","0,16%"
"30.11.2023","189,95","189,84","190,32","188,19","47,99M","0,31%"
"29.11.2023","189,37","190,90","192,09","188,97","37,94M","-0,54%"
"28.11.2023","190,40","189,78","191,08","189,40","37,79M","0,32%"
"27.11.2023","189,79","189,92","190,67","188,90","40,40M","-0,09%"
"24.11.2023","189,97","190,87","190,90","189,25","24,04M","-0,70%"
"22.11.2023","191,31","191,49","192,93","190,82","39,63M","0,35%"
"21.11.2023","190,64","191,41","191,52","189,74","38,13M","-0,42%"
"20.11.2023","191,45","189,89","191,90","189,88","46,54M","0,93%"
"17.11.2023","189,69","190,25","190,38","188,57","50,94M","-0,01%"
"16.11.2023","189,71","189,57","190,96","188,65","53,99M","0,90%"
"15.11.2023","188,01","187,85","189,50","187,78","53,23M","0,30%"
"14.11.2023","187,44","187,70","188,11","186,30","59,71M","1,43%"
"13.11.2023","184,80","185,82","186,03","184,21","41,97M","-0,86%"
"10.11.2023","186,40","183,97","186,57","183,53","66,18M","2,19%"
"09.11.2023","182,41","182,96","184,12","181,81","52,45M","-0,26%"
"08.11.2023","182,89","182,35","183,45","181,59","49,18M","0,59%"
"07.11.2023","181,82","179,18","182,44","178,97","70,21M","1,45%"
"06.11.2023","179,23","176,38","179,43","176,21","63,65M","1,46%"
"03.11.2023","176,65","174,24","176,82","173,35","79,83M","-0,52%"
"02.11.2023","177,57","175,52","177,78","175,46","67,02M","2,07%"
"01.11.2023","173,97","171,00","174,23","170,12","56,93M","1,87%"
"31.10.2023","170,77","169,35","170,90","167,90","43,52M","0,28%"
