region,country,gender,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Africa,Algeria,Female,,,,,,,,,,,,,52,39,85,73,,,,92,82
Africa,Algeria,Male,,,,,,,,,,,,,195,170,491,469,,,,479,498
Africa,Egypt,Female,,,,,52,63,144,163,110,193,197,331,261,,,,,,,,
Africa,Egypt,Male,,,,,270,459,405,517,856,719,1642,2372,1945,,,,,,,,
Africa,Morocco,Female,,,,,,,,,,52,,,56,66,59,97,105,113,70,117,86
Africa,Morocco,Male,,,,,,,,,,379,,,327,363,296,334,489,648,440,510,401
Africa,Tunisia,Female,,,,,,,,,,,,,,,,,,,,103,115
Africa,Tunisia,Male,,,,,,,,,,,,,,,,,,,,468,447
Africa,Burundi,Female,,,,,,,,,,,,,,97,102,78,123,,,,
Africa,Burundi,Male,,,,,,,,,,,,,,423,462,383,512,,,,
Africa,Cabo Verde,Female,,,,,,,,,,,,7,10,7,15,7,,6,10,6,9
Africa,Cabo Verde,Male,,,,,,,,,,,,45,45,47,50,39,,32,26,28,27
Africa,Cameroon,Female,,,,,,,,,,,,,,,91,117,107,,,,
Africa,Cameroon,Male,,,,,,,,,,,,,,,121,152,169,,,,
Africa,Kenya,Female,,,,,,,,,,,,,,,522,611,638,433,437,,523
Africa,Kenya,Male,,,,,,,,,,,,,,,1782,1649,1724,2032,1132,,1628
Africa,Mauritius,Female,11,,,10,7,13,12,12,17,16,8,8,10,11,8,6,10,13,14,,
Africa,Mauritius,Male,14,,,28,28,23,37,32,30,22,25,24,18,24,11,15,11,20,23,,
Africa,Namibia,Female,,,,,,,,,,,,,,,,,,,,,90
Africa,Namibia,Male,,,,,,,,,,,,,,,,,,,,,213
Africa,Sao Tome and Principe,Female,,,,,,,0,0,0,0,0,0,,,,,,,,,
Africa,Sao Tome and Principe,Male,,,,,,,0,0,0,0,0,0,,,,,,,,,
Africa,Seychelles,Female,,,,,1,,2,1,1,2,1,5,0,6,2,,,,,,
Africa,Seychelles,Male,,,,,8,,6,6,4,11,7,10,3,11,13,,,,,,
Africa,South Africa,Female,,,,,,,2727,2679,2545,2596,2741,2399,,,,,2639,2930,2771,,
Africa,South Africa,Male,,,,,,,16378,15720,15538,14170,13151,13154,,,,,16377,17425,18265,,
Africa,Uganda,Female,,,,,,,,,385,,,743,741,791,841,,911,834,,,
Africa,Uganda,Male,,,,,,,,,2408,,2560,3010,3325,3066,3631,,3571,3901,,,
Africa,United Republic of Tanzania,Female,,,,,,,,,,,550,557,521,494,,671,,,,,
Africa,United Republic of Tanzania,Male,,,,,,,,,,,3338,3592,3571,3203,,3075,,,,,
Americas,Anguilla,Female,0,,,,,,,,0,0,,,,0,,,,,,,
Americas,Anguilla,Male,1,,,,,,,,1,1,,,,1,,,,,,,
Americas,Antigua and Barbuda,Female,,0,1,,,,,,5,,,,,,,1,2,2,3,1,
Americas,Antigua and Barbuda,Male,,6,3,,,,,,11,,,,,,,4,7,18,9,2,
Americas,Argentina,Female,,,,,,,,,,,,,,,,387,,408,399,409,
Americas,Argentina,Male,,,,,,,,,,,,,,,,2450,,1909,1987,1890,
Americas,Bahamas,Female,16,5,12,6,2,8,5,8,7,10,14,16,10,,11,16,7,6,3,6,11
Americas,Bahamas,Male,57,37,39,44,42,44,56,70,66,77,80,111,101,,113,130,104,116,88,89,62
Americas,Barbados,Female,5,4,7,11,0,9,1,6,4,3,8,2,2,7,3,3,2,2,4,5,
Americas,Barbados,Male,15,20,17,22,21,19,33,19,19,16,23,25,20,17,22,28,20,28,24,43,
Americas,Belize,Female,,,,,14,,,,,9,16,12,14,10,12,9,15,11,19,17,11
Americas,Belize,Male,,,,,65,,,,,88,112,112,131,89,111,110,123,131,124,117,91
Americas,Bolivia (Plurinational State of),Female,,,,,,,,,137,,,,,,,241,189,228,205,304,
Americas,Bolivia (Plurinational State of),Male,,,,,,,,,690,,,,,,,430,410,489,339,502,
Americas,Brazil,Female,3743,3851,3867,3937,3830,3884,4022,3772,4023,4260,4465,4512,4719,4762,4832,4616,4635,4928,4512,3728,3736
Americas,Brazil,Male,41585,44040,45775,47082,44519,43665,45060,43886,46024,47109,47749,47619,51544,51937,54736,53424,56409,58713,51271,40231,39336
Americas,Cayman Islands,Female,1,1,,1,1,0,1,1,0,1,0,,,0,0,,,,,,
Americas,Cayman Islands,Male,3,1,,2,4,3,0,1,4,7,9,,,5,5,,,,,,
Americas,Chile,Female,,,,,,83,91,111,103,99,96,115,37,108,63,76,90,106,94,93,
Americas,Chile,Male,,,,,,493,499,505,485,530,445,521,397,448,375,533,530,673,731,651,
Americas,Colombia,Female,1924,2214,2242,20,1629,1492,1323,1385,1262,1260,1226,1348,1387,1224,1170,1068,1038,1077,1060,1045,913
Americas,Colombia,Male,24614,25625,26144,21522,18581,16619,16156,15813,14878,14557,14233,14779,15053,14194,12173,11714,11364,11160,11526,11035,10605
Americas,Costa Rica,Female,40,28,33,37,38,61,45,37,60,59,61,64,50,36,51,42,66,58,65,48,
Americas,Costa Rica,Male,208,228,224,262,241,273,306,332,452,466,466,410,357,375,426,515,512,545,520,515,
Americas,Cuba,Female,155,159,185,153,146,168,133,139,120,153,126,132,138,147,156,139,121,,,,
Americas,Cuba,Male,432,446,476,489,514,516,443,429,395,412,379,402,483,527,444,480,451,,,,
Americas,Dominica,Female,,1,0,2,,,,,2,,1,0,,,2,1,1,2,2,1,1
Americas,Dominica,Male,,0,9,5,,,,,5,,13,6,,,7,8,15,17,11,13,14
Americas,Dominican Republic,Female,,,,,,214,180,174,187,180,210,233,201,,187,,170,191,152,145,128
Americas,Dominican Republic,Male,,,,,,2179,1963,1936,2206,2194,2263,2280,2067,,1623,,1446,1025,916,881,833
Americas,Ecuador,Female,144,148,185,182,217,165,222,229,213,276,241,251,233,253,187,176,182,198,139,150,164
