mes,dia_mes,semana_mes,semana_anio,dia_sem,dia_anio,sale
10,5,2,40,40,4,14
9,5,2,36,36,4,20
8,29,5,35,35,28,20
9,28,5,39,39,27,33
9,14,3,37,37,13,35
10,12,3,41,41,11,40
8,24,4,34,34,23,40
10,19,4,42,42,18,40
9,21,4,38,38,20,42.9
9,26,5,39,39,25,45
11,21,4,47,47,20,50
11,14,3,46,46,13,60
11,17,3,46,46,16,60
8,8,2,32,32,7,65
8,24,4,34,34,23,70
8,31,5,35,35,30,74.96
11,22,4,47,47,21,80
11,28,5,48,48,27,80
11,13,3,46,46,12,80
10,23,5,43,43,22,80
8,28,5,35,35,27,80
8,4,1,31,31,3,83
9,7,2,36,36,6,92
11,2,1,44,44,1,110
8,22,4,34,34,21,115
10,18,4,42,42,17,120
8,29,5,35,35,28,120
12,14,3,50,50,13,135
8,11,2,32,32,10,147
8,14,3,33,33,13,150
8,28,5,35,35,27,150
8,22,4,34,34,21,155
8,22,4,34,34,21,159
9,19,4,38,38,18,159
12,4,2,49,49,3,160
7,27,5,30,30,26,160
10,17,4,42,42,16,160
11,10,2,45,45,9,161.4
8,11,2,32,32,10,170
10,12,3,41,41,11,172.58
9,6,2,36,36,5,175
11,20,4,47,47,19,185
11,7,2,45,45,6,190
12,6,2,49,49,5,240
9,12,3,37,37,11,240
10,31,6,44,44,30,250
10,23,5,43,43,22,250
10,26,5,43,43,25,265
10,27,5,43,43,26,275
8,17,3,33,33,16,276
8,7,2,32,32,6,280
11,17,3,46,46,16,420
11,16,3,46,46,15,466
8,15,3,33,33,14,485
10,9,3,41,41,8,485
11,22,4,47,47,21,497
12,12,3,50,50,11,660
11,10,2,45,45,9,687
10,13,3,41,41,12,710
10,20,4,42,42,19,893
11,16,3,46,46,15,999
10,27,5,43,43,26,1163
9,18,4,38,38,17,1191
11,8,2,45,45,7,1203
12,15,3,50,50,14,1303
11,29,5,48,48,28,1534
12,13,3,50,50,12,1554
8,16,3,33,33,15,1631
11,27,5,48,48,26,1654
10,6,2,40,40,5,1665.5
10,6,2,40,40,5,1665.5
10,10,3,41,41,9,1665.5
9,20,4,38,38,19,1710
8,15,3,33,33,14,1764
11,13,3,46,46,12,1764
11,27,5,48,48,26,1779
10,3,2,40,40,2,1781
10,18,4,42,42,17,1847
11,13,3,46,46,12,1861
12,7,2,49,49,6,1861
9,7,2,36,36,6,1870
11,10,2,45,45,9,1903
12,12,3,50,50,11,1903
12,7,2,49,49,6,1911
12,12,3,50,50,11,1934
11,30,5,48,48,29,1939
10,12,3,41,41,11,1948
11,28,5,48,48,27,2015
9,13,3,37,37,12,2017
11,1,1,44,44,31,2029
11,28,5,48,48,27,2032
9,11,3,37,37,10,2035
9,18,4,38,38,17,2036
8,24,4,34,34,23,2041
12,14,3,50,50,13,2053
12,1,1,48,48,30,2074
8,21,4,34,34,20,2112
8,15,3,33,33,14,2118
9,14,3,37,37,13,2121
9,14,3,37,37,13,2121
11,13,3,46,46,12,2135
8,15,3,33,33,14,2153
9,22,4,38,38,21,2154
11,21,4,47,47,20,2157
9,25,5,39,39,24,2163
9,14,3,37,37,13,2163
9,25,5,39,39,24,2178
9,18,4,38,38,17,2185
8,29,5,35,35,28,2197
12,4,2,49,49,3,2200
12,1,1,48,48,30,2201
9,12,3,37,37,11,2202
8,14,3,33,33,13,2217
9,12,3,37,37,11,2227
11,14,3,46,46,13,2236
8,11,2,32,32,10,2258
11,21,4,47,47,20,2287
9,11,3,37,37,10,2289
